barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi
UOCRA,1906.0,582.0,25.0,0,4.3
TRANVIARIOS,2245.0,720.0,16.0,0,2.2
TEODORO FELDS,3542.0,1258.0,5.0,0,0.4
TENIENTE BENJAMIN MATIENZO,6873.0,2080.0,45.0,0,2.2
TEJAS II,687.0,187.0,6.0,0,3.2
TEJAS DEL SUR,1454.0,406.0,5.0,0,1.2
TALLERES SUD,3940.0,1027.0,145.0,0,14.1
TALLERES OESTE,5925.0,1848.0,62.0,0,3.4
TALLERES ESTE,5542.0,1710.0,59.0,0,3.5
TABLADA PARK,748.0,265.0,0.0,0,0.0
SUAREZ,2807.0,762.0,87.0,0,11.4
SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,650.0,192.0,1.0,0,0.5
SMATA,2291.0,599.0,2.0,0,0.3
SEP SEGUNDA ETAPA,2640.0,759.0,16.0,0,2.1
SEP,1039.0,292.0,7.0,0,2.4
SARMIENTO,2507.0,785.0,17.0,0,2.2
SARGENTO CABRAL,3597.0,1060.0,78.0,1,7.4
SANTA RITA,1145.0,395.0,13.0,0,3.3
SANTA ISABEL SECCION 3,4047.0,1071.0,51.0,0,4.8
SANTA ISABEL SECCION 2,6113.0,1748.0,100.0,0,5.7
SANTA ISABEL SECCION 1,3583.0,1013.0,45.0,1,4.4
SANTA ISABEL ANEXO,1361.0,328.0,24.0,0,7.3
SANTA CLARA DE ASIS,1839.0,481.0,8.0,0,1.7
SANTA CECILIA,1089.0,317.0,40.0,1,12.6
SAN VICENTE,18145.0,5733.0,291.0,0,5.1
SAN SALVADOR,2101.0,648.0,4.0,0,0.6
SAN RAMON,356.0,96.0,11.0,0,11.5
SAN RAFAEL,5172.0,1698.0,20.0,0,1.2
SAN PEDRO NOLASCO,982.0,265.0,26.0,0,9.8
SAN PABLO,2190.0,672.0,25.0,0,3.7
SAN NICOLAS,2063.0,596.0,44.0,0,7.4
SAN MARTIN NORTE,1945.0,560.0,34.0,0,6.1
SAN MARTIN ANEXO,3153.0,1078.0,37.0,0,3.4
SAN MARTIN,13157.0,4358.0,207.0,0,4.7
SAN MARCELO,270.0,91.0,0.0,0,0.0
SAN LUIS DE FRANCIA,406.0,107.0,4.0,0,3.7
SAN LORENZO NORTE,419.0,140.0,5.0,0,3.6
SAN LORENZO,1988.0,618.0,17.0,0,2.8
SAN JOSE,548.0,166.0,2.0,0,1.2
SAN JAVIER,1637.0,413.0,36.0,0,8.7
SAN IGNACIO,2787.0,755.0,82.0,0,10.9
SAN FRANCISCO,1123.0,362.0,2.0,0,0.6
SAN FERNANDO,4094.0,1612.0,65.0,0,4.0
SAN FELIPE,2553.0,667.0,44.0,0,6.6
SAN DANIEL,1359.0,455.0,13.0,0,2.9
SAN CAYETANO,288.0,65.0,6.0,0,9.2
SAN ANTONIO,323.0,93.0,4.0,0,4.3
SACHI,1053.0,255.0,28.0,1,11.0
ROSEDAL ANEXO,916.0,288.0,6.0,0,2.1
ROSEDAL,2314.0,755.0,6.0,1,0.8
ROGELIO MARTINEZ,1204.0,390.0,3.0,0,0.8
ROCIO DEL SUR,,,,0,
ROCIO,,,,0,
RIVERA INDARTE,1742.0,517.0,23.0,0,4.4
RIVADAVIA,3105.0,1064.0,25.0,0,2.3
RESIDENCIAL VELEZ SARSFIELD,3161.0,1013.0,6.0,0,0.6
RESIDENCIAL SUD,947.0,282.0,5.0,0,1.8
RESIDENCIAL SANTA ROSA,2741.0,713.0,43.0,0,6.0
RESIDENCIAL SANTA ANA,1547.0,474.0,13.0,0,2.7
RESIDENCIAL SAN ROQUE,13559.0,3398.0,501.0,1,14.7
RESIDENCIAL SAN JORGE,1120.0,292.0,36.0,2,12.3
RESIDENCIAL SAN CARLOS,2868.0,908.0,17.0,1,1.9
RESIDENCIAL OLIVOS,971.0,311.0,4.0,0,1.3
