cueanexo,nombre,est_sector,est_ambito,est_barrio,est_localidad,nivel,lat,lon,barrio_asignado
140046003,C.E.N.M.A. N° 71 ANEXO EXTENSION AULICA Bº LOS ROBLES,Estatal,Urbano,LOS ROBLES,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4035,-64.2617,LOS ROBLES
140046004,C.E.N.M.A. Nº 71 ANEXO BARRIO PARQUE REPUBLICA,Estatal,Urbano,PARQUE REPUBLICA,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4185,-64.2533,LAS PALMAS
140046800,I.P.E.M. Nº 40 DEODORO ROCA,Estatal,Urbano,JARDIN,CORDOBA,"[""2. Común - Secundario""]",-31.4477,-64.1716,VILLA REVOL
140046007,C.E.N.M.A. Nº 71 ANEXO SEDE Bº PARQUE REPUBLICA,Estatal,Urbano,PARQUE REPUBLICA,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4182,-64.2547,PARQUE REPUBLICA
140046801,I.P.E.M. Nº 40 DEODORO ROCA ANEXO PIT B°OÑA,Estatal,Urbano,OÑA,CORDOBA,"[""2. Común - Secundario""]",-31.4501,-64.166,BIALET MASSE
140056000,INSTITUTO PADRE CLARET,Privado,Urbano,PADRE CLARET,CORDOBA,"[""2. Común - Secundario""]",-31.3577,-64.2386,COLINAS DEL CERRO
140057200,I.P.E.M. Nº 269 DR. CESAR MILSTEIN,Estatal,Urbano,CENTRO,CORDOBA,"[""2. Común - Secundario""]",-31.4098,-64.1843,URQUIZA
140061700,INSTITUTO PIO X,Privado,Urbano,ALBERDI,CORDOBA,"[""2. Común - Secundario""]",-31.4107,-64.1978,URQUIZA
140061800,C.E.N.M.A. Nº 70 COMPAÑERO HUGO ESTANISLAO OCHOA,Estatal,Urbano,ALBERDI,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.41,-64.1914,URQUIZA
140061801,C.E.N.M.A. Nº 70 COMPAÑERO HUGO ESTANISLAO OCHOA ANEXO Bº ARTURO CAPDEVILA,Estatal,Urbano,ARTURO CAPDEVILA,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.3759,-64.1319,RESIDENCIAL SAN JORGE
