barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
PARQUE JORGE NEWBERY,0,913,16,1.75,0,6,3,3,0,30,4,152,0,2
PARQUE FUTURA,0,703,68,9.67,0,1,0,1,0,7,1,49,0,1
PARQUE DON BOSCO,0,0,24,0.0,0,1,1,0,1,18,2,248,0,1
PARQUE DEL ESTE,679,180,24,13.33,0,3,3,0,0,9,1,58,0,1
PARQUE DE LA VIDA,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0
PARQUE DE LA VEGA III,596,180,1,0.56,0,0,0,0,0,7,2,0,0,0
PARQUE DE LA VEGA II,596,155,22,14.19,0,0,0,0,0,20,3,0,0,1
PARQUE COREMA,584,220,1,0.45,0,1,1,0,0,0,0,1,0,0
PARQUE CHATEAU CARRERAS,28,7,1,14.29,0,0,0,0,0,0,0,80,0,0
PARQUE CHACABUCO,0,388,1,0.26,0,0,0,0,0,4,2,165,0,1
PARQUE CAPITAL SUD,0,442,2,0.45,0,0,0,0,0,13,3,0,0,1
PARQUE CAPITAL,0,0,6,0.0,0,1,0,1,0,12,3,563,0,1
PARQUE ATLANTICA,0,734,17,2.32,0,1,1,0,0,10,5,49,0,0
PARQUE ALAMEDA,656,195,3,1.54,0,0,0,0,0,0,0,24,0,1
PANAMERICANO,0,0,26,0.0,0,1,1,0,0,13,5,101,0,1
PALMAS DEL CLARET,623,211,0,0.0,0,0,0,0,0,1,1,0,0,0
PALMAR,0,283,10,3.53,0,0,0,0,0,3,1,55,0,1
PALERMO BAJO,0,666,3,0.45,0,3,3,0,0,21,5,0,0,0
PADRE CLARET,871,256,0,0.0,0,4,1,3,0,10,13,48,0,1
OSN,0,575,8,1.39,0,0,0,0,0,11,4,0,0,1
ONA,0,405,9,2.22,0,7,4,3,0,7,3,0,0,2
OMBU,0,567,5,0.88,0,2,2,0,0,12,11,234,0,1
OBSERVATORIO,0,0,128,0.0,0,5,1,4,0,10,5,100,0,1
OBRERO,0,919,13,1.41,0,13,5,8,1,21,13,244,0,1
NUEVO URCA,104,36,0,0.0,0,0,0,0,0,4,1,120,0,1
NUEVA ITALIA,0,988,54,5.47,0,0,0,0,0,5,1,308,0,0
NUEVA CORDOBA ANEXA,0,500,6,1.2,0,1,1,0,1,8,4,0,0,1
NUEVA CORDOBA,0,0,245,0.0,0,14,6,8,0,44,34,343,1,1
NUESTRO HOGAR III,0,0,305,0.0,0,4,4,0,1,18,1,0,0,2
NUESTRO HOGAR II,861,209,33,15.79,0,4,4,0,0,9,2,0,0,1
NUESTRO HOGAR I,595,157,18,11.46,0,0,0,0,1,17,4,0,0,1
NICOLAS AVELLANEDA,0,492,16,3.25,0,7,7,0,1,14,5,10,0,2
MUTUAL DE LOS DOCENTES,729,205,1,0.49,0,0,0,0,0,3,1,54,0,0
MIRIZZI,693,163,17,10.43,0,6,4,2,0,19,5,0,0,2
MIRALTA,0,889,145,16.31,0,2,2,0,1,10,2,5,0,2
MIRADOR DEL CHATEAU,377,144,0,0.0,0,4,2,2,0,10,4,71,1,1
MIRADOR,0,956,107,11.19,0,3,3,0,0,13,4,14,0,1
MILITAR GENERAL DEHEZA,825,198,2,1.01,0,2,2,0,0,3,2,0,0,0
MERCANTIL,723,214,3,1.4,0,3,2,1,0,8,2,87,0,0
MAURIZI,756,255,11,4.31,0,2,2,0,0,3,3,1,0,0
MAULLER,0,0,125,0.0,0,8,8,0,0,15,1,0,1,3
MARQUES DE SOBREMONTE,0,0,170,0.0,0,5,5,0,1,35,4,1415,1,2
MARQUES ANEXO,0,0,115,0.0,0,4,4,0,0,0,0,0,0,0
MARIANO FRAGUEIRO,0,963,89,9.24,0,2,2,0,0,31,8,25,0,1
MARIANO BALCARCE,0,656,10,1.52,0,1,0,1,0,6,7,40,0,1
MARIA LASTENIA,451,117,11,9.4,0,4,4,0,0,20,5,16,0,1
MARECHAL,0,0,61,0.0,0,5,4,1,0,19,4,20,1,1
MARCOS SASTRE,0,281,18,6.41,0,0,0,0,0,11,3,33,0,1
MARCELO T DE ALVEAR,0,751,48,6.39,0,0,0,0,0,8,2,0,0,1
MANANTIALES I-MANANTIALES II,28,6,0,0.0,0,1,1,0,0,1,1,0,0,0
MALDONADO,0,0,359,0.0,0,6,6,0,0,10,2,13,0,0
MAIPU SECCION 2,0,764,8,1.05,0,3,1,2,0,13,11,0,0,1
MAIPU SECCION 1,0,679,7,1.03,0,5,2,3,0,17,12,0,0,1
LOURDES,0,318,50,15.72,0,5,5,0,0,26,6,7,1,1
LOS SUENOS,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0
LOS SOLES,0,0,0,0.0,0,0,0,0,0,5,1,0,0,0
LOS SAUCES,0,469,22,4.69,0,2,2,0,1,9,2,16,0,1
LOS ROBLES,0,958,144,15.03,0,0,0,0,0,8,2,203,0,1
LOS PLATANOS,0,0,58,0.0,0,5,4,1,0,11,5,52,0,0
LOS PINOS,0,532,21,3.95,0,2,2,0,1,7,4,160,0,1
LOS PARAISOS,0,0,40,0.0,0,5,2,3,0,28,6,8,0,1
LOS OLMOS SUD,0,318,24,7.55,0,8,7,1,1,19,4,19,0,2
LOS OLMOS,0,541,21,3.88,0,0,0,0,0,13,8,56,0,1
LOS NARANJOS,0,561,7,1.25,0,0,0,0,0,9,7,430,0,1
LOS JOSEFINOS,371,100,9,9.0,0,0,0,0,1,0,0,0,0,1
LOS JACARANDAES,0,319,70,21.94,0,0,0,0,0,0,0,6,0,1
LOS HORNILLOS,726,174,20,11.49,0,0,0,0,0,19,5,1,1,1
LOS GRANADOS,0,917,41,4.47,0,5,4,1,0,6,2,10,0,1
LOS GIGANTES,0,0,49,0.0,0,2,2,0,0,11,2,41,0,1
LOS FRESNOS,0,246,38,15.45,0,0,0,0,0,0,0,0,0,2
LOS FILTROS,852,198,32,16.16,0,4,4,0,0,7,2,12,0,0
LOS EUCALIPTUS,0,480,15,3.12,0,6,5,1,0,4,3,31,0,1
