stop_id,stop_name,stop_lat,stop_lon,barrio_asignado
C9207,José Figueroa 292,-31.391354,-64.248852,COLINAS DEL CERRO
C5698,Estanislao Learte 392,-31.414454,-64.136606,MALDONADO
C5688,Argandoña 3184,-31.420524,-64.142818,YAPEYU
C9183,Nazca 683,-31.385781347543805,-64.25401985420736,COLINAS DEL CERRO
C5598,Igualdad 3544-3556,-31.395302,-64.226026,VILLA SIBURU
C5590,Doctor Enrique Tornú 2686,-31.396694,-64.214053,VILLA PAEZ
C5573,Corrientes 3403,-31.427244,-64.140887,ACOSTA
C5561,Mariano Boedo 1800,-31.429482,-64.116919,COLONIA LOLA
C5461,Corrientes 3215,-31.427047,-64.143205,ACOSTA
C5537,Ramos Mejia 1669,-31.42822368549553,-64.12324905395509,EMPALME
C5431,Máximo Zamudio 63,-31.430045,-64.109403,COLONIA LOLA
C5444,Ramos Mejia 2327,-31.436714,-64.123362,EMPALME
C5513,Esquel 4431,-31.460292,-64.211129,CABO FARINA
C5385,Martín Cartechini 1056,-31.421975,-64.133597,ACOSTA
C5374,Mario Bravo 668,-31.418221,-64.122026,RENACIMIENTO
C5411,Avenida Duarte Quirós 4870,-31.398878,-64.245086,LAS VIOLETAS
C5352,Juan Gregorio Lemos 5150,-31.416276,-64.120111,RENACIMIENTO
C5342,Pasaje Sáenz Peña 4346,-31.418675,-64.129429,MALDONADO
C5331,Yapeyú 1300,-31.423097,-64.151981,YAPEYU
C5323,Rosario de Santa Fe 1070,-31.416683,-64.167961,YAPEYU
C5314,Avenida Duarte Quirós 5281,-31.396918,-64.251384,LOS ROBLES
C5278,Avenida Don Bosco 4608,-31.405393,-64.244045,LAS VIOLETAS
C9193,Chancay 479,-31.388442,-64.25229,COLINAS DEL CERRO
C5226,Avenida Carlos Federico Gauss 5739,-31.355923,-64.250713,COLINAS DEL CERRO
C5418,Ramón Cárcano 921,-31.381046,-64.258057,COLINAS DEL CERRO
C5205,Avenida Río Bamba 79,-31.393795,-64.254747,LOS ROBLES
C5189,Avenida Duarte Quirós 3836,-31.405,-64.231852,QUINTA SANTA ANA
C5179,Avenida Duarte Quirós 1712,-31.411936,-64.208087,ALBERDI
C5582,República Popular China S/N,-31.36644,-64.279,PARQUE DON BOSCO
C5070,Avenida Santiago Costamagna 7003,-31.386432,-64.272916,PARQUE DON BOSCO
C5058,Avenida Colón 5112,-31.396245,-64.249613,LOS ROBLES
C5048,Avenida Colón 3040,-31.402096,-64.221005,VILLA SIBURU
C5025,Entre Ríos 2067,-31.423596,-64.157426,YAPEYU
C5014,López y Planes 3901,-31.422342,-64.134332,ACOSTA
C9034,De Las Leyes Agrarias 3839,-31.464643763683192,-64.14708316326143,RAMON J CARCANO
C9006,Avenida Idelfonso Muñecas 4130,-31.480867602007624,-64.14268970489503,VILLA CORONEL OLMEDO
C6216,América Central 2199,-31.476329,-64.243155,PARQUE FUTURA
C6175,Sabino O'Donell 514,-31.361855,-64.182032,VILLA AZALAIS OESTE
C6282,Avenida Armada Argentina 2111,-31.473053,-64.231128,VILLA EL LIBERTADOR
C6167,Texas 1790,-31.467206,-64.229636,CONGRESO
C6121,Independencia 1490,-31.432613,-64.191141,GUEMES
C6077,Mariano Fragueíro 3668,-31.371552,-64.183803,HIPOLITO IRIGOYEN
C5170,Bulevar Chacabuco 647,-31.42498281190355,-64.18322324752809,GUEMES
MA-00000506,Humberto Primo 456,-31.40824367763753,-64.18774345172379,URQUIZA
C6023,Avenida Juan B. Justo 8530,-31.323782,-64.176013,GUINAZU
C6188,De La Huella 301,-31.309125965113683,-64.18292284011842,GUINAZU
C6168,Avenida Juan B. Justo 8597,-31.320281,-64.175692,GUINAZU
C6148,Mercedes Moreno 126,-31.34036924613382,-64.1775155067444,REMEDIOS DE ESCALADA
C6104,Vicente Espinel 687,-31.378184,-64.183631,HIPOLITO IRIGOYEN
C6082,Rodriguez Peña 1388,-31.39804,-64.191071,SAN MARTIN
C6002,Avenida Renault 2252,-31.472715,-64.237329,CONGRESO
C7239,Paine 5236,-31.412824,-64.254988,LAS VIOLETAS
p18_reg_c,Avenida Vélez Sarsfield 352,-31.419434615762544,-64.18865203857423,URQUIZA
p12_ida_a,General Justo José de Urquiza 2047,-31.391478068697587,-64.18550848960878,SAN MARTIN
p26_ida_a,Avenida Vélez Sarsfield 1419,-31.431336283486026,-64.19353365898134,GUEMES
p18_vuelta_a,Urquiza 3064,-31.379791,-64.185101,HIPOLITO IRIGOYEN
p7_ida,Belgrano 305,-31.418357383073392,-64.18965619057417,URQUIZA
C9330,Nazca 814,-31.384586,-64.252993,COLINAS DEL CERRO
C5700,Martín Cartechini 335,-31.413923,-64.131178,MALDONADO
C5692,Obispo Castellano 401,-31.414513,-64.139063,MALDONADO
C5604,Igualdad 4677,-31.39102,-64.237833,VILLA SIBURU
C5574,José M. Solares 1411,-31.425189,-64.141944,ACOSTA
C5560,Agustín Garzón 5423,-31.427354,-64.116586,COLONIA LOLA
C5064,Bulevar Juan Domingo Perón 707,-31.424681,-64.171497,CRISOL SUD
C5460,José M. Solares 1611,-31.427386,-64.142261,ACOSTA
C5447,Ramos Mejia 1801,-31.429876,-64.123276,EMPALME
